customer_id,product,rating
green,ProductA,4
yellow,ProductB,4
violet,ProductC,3
green,ProductD,3
blue,ProductE,1
orange,ProductF,3
indigo,ProductA,4
red,ProductB,2
blue,ProductC,1
red,ProductD,1
green,ProductE,4
green,ProductF,2
blue,ProductA,4
violet,ProductB,4
red,ProductC,4
indigo,ProductD,2
green,ProductE,5
yellow,ProductF,3
yellow,ProductA,3
violet,ProductB,3
orange,ProductC,4
orange,ProductD,3
green,ProductE,4
yellow,ProductF,2
blue,ProductA,4
green,ProductB,1
red,ProductC,3
green,ProductD,2
blue,ProductE,5
yellow,ProductF,5
violet,ProductA,4
indigo,ProductB,5
orange,ProductC,3
indigo,ProductD,4
violet,ProductE,5
indigo,ProductF,1
green,ProductA,4
blue,ProductB,2
violet,ProductC,4
yellow,ProductD,4
yellow,ProductE,3
red,ProductF,4
indigo,ProductA,2
indigo,ProductB,5
green,ProductC,2
yellow,ProductD,2
indigo,ProductE,2
yellow,ProductF,1
indigo,ProductA,3
yellow,ProductB,4
violet,ProductC,5
indigo,ProductD,5
orange,ProductE,2
green,ProductF,2
indigo,ProductA,2
green,ProductB,2
green,ProductC,4
green,ProductD,4
red,ProductE,4
red,ProductF,2
violet,ProductA,4
green,ProductB,1
indigo,ProductC,5
green,ProductD,3
violet,ProductE,3
blue,ProductF,5
orange,ProductA,4
blue,ProductB,1
green,ProductC,1
violet,ProductD,1
green,ProductE,5
indigo,ProductF,3
indigo,ProductA,4
green,ProductB,4
green,ProductC,1
violet,ProductD,2
yellow,ProductE,2
orange,ProductF,4
red,ProductA,4
yellow,ProductB,4
orange,ProductC,1
orange,ProductD,5
yellow,ProductE,2
yellow,ProductF,2
red,ProductA,4
yellow,ProductB,2
orange,ProductC,3
green,ProductD,2
indigo,ProductE,3
yellow,ProductF,1
green,ProductA,4
orange,ProductB,2
indigo,ProductC,2
yellow,ProductD,2
red,ProductE,3
green,ProductF,4
red,ProductA,3
red,ProductB,5
green,ProductC,2
blue,ProductD,5
green,ProductE,4
indigo,ProductF,2
red,ProductA,1
blue,ProductB,5
green,ProductC,4
red,ProductD,3
indigo,ProductE,5
blue,ProductF,2
orange,ProductA,3
blue,ProductB,2
indigo,ProductC,5
violet,ProductD,2
yellow,ProductE,5
yellow,ProductF,2
yellow,ProductA,1
green,ProductB,4
violet,ProductC,4
indigo,ProductD,3
yellow,ProductE,4
yellow,ProductF,4
blue,ProductA,3
blue,ProductB,3
orange,ProductC,4
indigo,ProductD,2
yellow,ProductE,3
orange,ProductF,3
violet,ProductA,2
green,ProductB,3
yellow,ProductC,3
green,ProductD,1
blue,ProductE,2
yellow,ProductF,2
indigo,ProductA,4
green,ProductB,4
green,ProductC,1
yellow,ProductD,3
indigo,ProductE,3
yellow,ProductF,4
yellow,ProductA,5
violet,ProductB,4
red,ProductC,4
blue,ProductD,4
yellow,ProductE,5
orange,ProductF,3
red,ProductA,3
indigo,ProductB,2
yellow,ProductC,4
violet,ProductD,2
indigo,ProductE,3
blue,ProductF,2
red,ProductA,2
yellow,ProductB,3
yellow,ProductC,4
indigo,ProductD,3
indigo,ProductE,1
violet,ProductF,2
blue,ProductA,2
red,ProductB,3
violet,ProductC,4
red,ProductD,4
indigo,ProductE,4
yellow,ProductF,3
red,ProductA,2
green,ProductB,2
violet,ProductC,4
indigo,ProductD,3
blue,ProductE,5
indigo,ProductF,1
violet,ProductA,3
yellow,ProductB,5
violet,ProductC,4
red,ProductD,3
indigo,ProductE,3
blue,ProductF,4
green,ProductA,2
red,ProductB,4
red,ProductC,2
yellow,ProductD,4
violet,ProductE,4
yellow,ProductF,2
indigo,ProductA,4
blue,ProductB,2
blue,ProductC,2
blue,ProductD,3
orange,ProductE,4
red,ProductF,3
violet,ProductA,1
indigo,ProductB,3
yellow,ProductC,4
blue,ProductD,1
green,ProductE,2
blue,ProductF,2
violet,ProductA,2
blue,ProductB,3
red,ProductC,3
orange,ProductD,5
red,ProductE,1
blue,ProductF,4
indigo,ProductA,2
yellow,ProductB,5
red,ProductC,1
red,ProductD,2
violet,ProductE,2
red,ProductF,4
violet,ProductA,4
blue,ProductB,4
blue,ProductC,3
blue,ProductD,3
indigo,ProductE,1
violet,ProductF,2
green,ProductA,2
violet,ProductB,4
violet,ProductC,4
violet,ProductD,2
green,ProductE,2
orange,ProductF,3
blue,ProductA,2
green,ProductB,5
green,ProductC,3
indigo,ProductD,4
blue,ProductE,4
violet,ProductF,3
indigo,ProductA,4
red,ProductB,4
red,ProductC,4
green,ProductD,5
blue,ProductE,3
violet,ProductF,2
green,ProductA,3
indigo,ProductB,5
blue,ProductC,4
green,ProductD,3
indigo,ProductE,1
green,ProductF,3
violet,ProductA,5
blue,ProductB,3
red,ProductC,2
red,ProductD,4
red,ProductE,3
orange,ProductF,3
indigo,ProductA,2
violet,ProductB,1
indigo,ProductC,5
orange,ProductD,2
violet,ProductE,3
yellow,ProductF,4
indigo,ProductA,4
blue,ProductB,1
yellow,ProductC,4
red,ProductD,3
