date,total_revenue
2024-1-28,8064
2024-1-7,2595
2024-1-8,3584
2024-1-10,2223
2024-1-18,2624
2024-1-27,5204
2024-1-21,7393
2024-1-11,1522
2024-1-17,3841
2024-1-25,5750
2024-1-2,9262
2024-1-27,8556
2024-1-20,7794
2024-1-14,9471
2024-1-27,1793
2024-1-17,6719
2024-1-17,3145
2024-1-21,2431
2024-1-5,2729
2024-1-19,2145
2024-1-18,4864
2024-1-9,2661
2024-1-11,5580
2024-1-29,2860
2024-1-3,7887
2024-1-27,3916
2024-1-13,1005
2024-1-27,9582
2024-1-31,9403
2024-1-13,7380
2024-1-25,5867
2024-1-10,8507
2024-1-29,6410
2024-1-14,1484
2024-1-30,5860
2024-1-4,5961
2024-1-19,3922
2024-1-12,8962
2024-1-3,8485
2024-1-13,5040
2024-1-10,5001
2024-1-4,4343
2024-1-7,4227
2024-1-10,6091
2024-1-29,6532
2024-1-11,9527
2024-1-28,5753
2024-1-18,2699
2024-1-29,3561
2024-1-17,6468
2024-1-28,9018
2024-1-20,5160
2024-1-8,6641
2024-1-31,4361
2024-1-13,2377
2024-1-4,6199
2024-1-16,5571
2024-1-10,6372
2024-1-23,1540
2024-1-19,3134
2024-1-30,5780
2024-1-28,9928
2024-1-10,4223
2024-1-23,8209
2024-1-6,4281
2024-1-8,2327
2024-1-21,6988
2024-1-3,5534
2024-1-21,3920
2024-1-15,7096
2024-1-16,1615
2024-1-24,2784
2024-1-31,5707
2024-1-6,1383
2024-1-3,8623
2024-1-31,8839
2024-1-26,7069
2024-1-29,2716
2024-1-26,1586
2024-1-15,7556
2024-1-23,8442
2024-1-2,6418
2024-1-7,7925
2024-1-20,4034
2024-1-31,4020
2024-1-25,4892
2024-1-5,9708
2024-1-14,2804
2024-1-27,3051
2024-1-13,6529
2024-1-26,5176
2024-1-13,2496
2024-1-24,8053
2024-1-7,4000
2024-1-6,6604
2024-1-16,4269
2024-1-31,1294
2024-1-3,9481
2024-1-31,5255
2024-1-12,9757
